Trace metal concentrations in filtered water (0.45 um) analyzed at Trent WQC,,,,,,,,,,,,,,,,,,,,,,,
York Sample ID #,Province,Lake,Station,,Sampling Date,Sampling depth (m or range if integrated),,Fe ppb,Fe RSD,Co ppb,Co RSD,Ni ppb,Ni RSD,Cu ppb,Cu RSD,Zn ppb,Zn RSD,Mo ppb,Mo RSD,Mn ppb,Mn RSD,V ppb,V RSD
,,,,,,,,,,,,,,,,,,,,,,,
TMF-183,Man,BLANK,,17 053 054,2017-09-30,,,1.03,4.89,0.03,3.96,< D.L.,< D.L.,0.38,3.75,371.04,1.3,0.27,3.15,0.05,4.74,0.16,22.66
TMF-149,Man,Lake Winnipeg,W13,17 053 001,2017-09-19,1,,4.08,5.95,0.13,1.88,1.77,5.79,1.87,4.81,82.33,3.18,0.82,2.39,5.76,2.53,2.18,5.19
TMF-166,Man,Lake Winnipeg,W13,17 053 002,2017-09-19,7.5,1 m above bottom,4.41,1.74,0.13,2.98,1.98,3.35,1.79,2.21,99.36,2.11,0.86,4.57,5.48,3.45,2.2,3.08
TMF-150,Man,Lake Winnipeg,8ns,17 053 051,2017-09-20,1,,5.04,2.96,0.12,1.19,1.71,4.82,2,3.66,79.07,2.39,0.79,3.19,2.62,2.41,1.88,5.46
TMF-151,Man,Lake Winnipeg,W8,17 053 004,2017-09-21,1,,4.84,3.69,0.12,1.1,1.6,5.57,1.84,3,131.63,0.23,0.81,1.36,1.18,1.92,2.03,3.2
TMF-152,Man,Lake Winnipeg,W14,17 053 007,2017-09-21,1,,8.46,0.44,0.12,0.1,1.45,4.37,1.91,2.54,53.18,2.03,0.7,0.75,0.5,3.06,1.71,2.1
TMF-169,Man,Lake Winnipeg,W14,17 053 008,2017-09-21,8.5,1 m above bottom,8.11,1.67,0.11,3.28,1.39,4.2,1.76,2.06,116.52,1.76,0.67,2.45,0.71,3.3,1.74,2.61
TMF-168,Man,Lake Winnipeg,W8,17 053 005,2017-09-21,13.0,1 m above bottom,4.97,4.07,0.11,0.61,1.55,4.16,3.66,1.62,61.56,1.82,0.81,1.1,1.16,1.14,1.85,2.2
TMF-153,Man,Lake Winnipeg,W5,17 053 010,2017-09-22,1,,8.32,2.38,0.12,2.17,1.14,4.26,1.53,1.99,107.63,0.74,0.86,2.18,0.47,0.87,1.28,3.99
TMF-170,Man,Lake Winnipeg,W5,17 053 011,2017-09-22,12.7,1 m above bottom,7.86,3.77,0.11,3.3,1.15,2.01,1.55,3.05,60.15,3.04,0.75,2.05,0.43,3.15,1.22,9.27
TMF-154,Man,Lake Winnipeg,W1,17 053 016,2017-09-23,1,,2.84,0.87,0.11,2.57,1.23,3.51,1.21,1.67,115.36,1.4,0.87,3.25,0.32,3.43,0.73,3.93
